id;title;link;regular_price;promotional_price;brand
223096;Кофе в капсулах Absolut Drive Americano Original для кофемашин Dolce Gusto 16шт, 128г;https://online.metro-cc.ru/products/16shth8g-kofe-absolut-amerikano-kapsuly-dg;399;399;ABSOLUT
223100;Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт, 184г;https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg;399;399;ABSOLUT
223118;Кофе в капсулах Absolut Drive Latte Macchiato with caramel для кофемашин Dolce Gusto 16шт, 168г;https://online.metro-cc.ru/products/8shth6g8shth15g-kofe-absolut-latte-karamel-kapsuly-dg;399;399;ABSOLUT
531031;Кофе Alta Roma Intenso в зернах, 1кг;https://online.metro-cc.ru/products/kofe-alta-roma-intenso-v-zernakh-1kg;1289;1199;ALTA ROMA
226465;Кофе Alta Roma Vero в зернах, 1кг;https://online.metro-cc.ru/products/kofe-alta-roma-vero-v-zernakh-1kg;1399;1399;ALTA ROMA
365548;Кофе Alta Roma Espresso в зернах, 1кг;https://online.metro-cc.ru/products/kofe-alta-roma-espresso-v-zernakh-1kg;1049;1049;ALTA ROMA
226466;Кофе Alta Roma Caffe Latte в зернах, 1кг;https://online.metro-cc.ru/products/kofe-alta-roma-caffe-latte-v-zernakh-1kg;1289;1289;ALTA ROMA
226467;Кофе Alta Roma Caffe Latte молотый, 250г;https://online.metro-cc.ru/products/kofe-alta-roma-caffe-latte-molotiy-250g;279;279;ALTA ROMA
546341;Кофе Ambassador Nero Espresso Roast в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg;799;779;AMBASSADOR
102232;Кофе Ambassador Gold Label в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-gold-label-v-zernah-1000g;1609;1299;AMBASSADOR
665877;Кофе Ambassador Blue Label в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g;1759;1399;AMBASSADOR
599512;Кофе Ambassador Platinum в зернах, 1кг;https://online.metro-cc.ru/products/ambassador-naturalnyj-zharenyj-platinum-1kg;1409;1299;AMBASSADOR
463833;Кофе Ambassador Platinum растворимый, 190г;https://online.metro-cc.ru/products/ambassador-platinum-190g;569;529;AMBASSADOR
482361;Кофе Ambassador Platinum растворимый, 150г;https://online.metro-cc.ru/products/ambassador-platinum-150g;479;399;AMBASSADOR
632162;aro Кофе 3в1 классик (100 пакетиков x 16г), 1.6кг;https://online.metro-cc.ru/products/aro-3v1-klassik-100h16g;759;759;ARO
632120;aro Кофе растворимый сублимированный, 900г;https://online.metro-cc.ru/products/aro-sublimirovannyj-900g;1779;1779;ARO
147698;aro Кофе растворимый сублимированный, ст/б 80г;https://online.metro-cc.ru/products/sublimirovannyj-aro-80g;169;169;ARO
134491;aro Кофе натуральный жареный молотый, 500г;https://online.metro-cc.ru/products/500g-kofe-aro-molotyy;409;409;ARO
